Country,Confirmed,Deaths
Japan,3487,53
Japan,4702,38
Japan,9103,66
Japan,169388,1315
Japan,4167,33
Japan,14395,136
Japan,36003,291
Japan,14815,163
Japan,16286,118
Japan,6139,41
Japan,8892,97
Japan,6119,73
Japan,15649,149
Japan,8069,61
Japan,8187,84
Japan,15547,136
Japan,50344,398
Japan,203259,3064
Japan,4463,4
Japan,5866,30
Japan,115912,1059
Japan,12439,104
Japan,1733,5
Japan,26846,209
Japan,15501,117
Japan,3291,66
Japan,382349,3170
Japan,1669,5
Japan,4868,52
Japan,8,0
Japan,5303,62
Japan,3604,56
Japan,5793,93
Japan,5157,29
Jordan,1003428,11917
Kazakhstan,1062279,18005
Kenya,255932,5342
Kiribati,2,0
"Korea, South",510583,4210
Kosovo,161183,2987
Kuwait,413637,2466
Kyrgyzstan,183863,2766
Laos,86148,231
Latvia,260658,4360
Lebanon,686725,8824
Lesotho,22448,664
Liberia,5835,287
Libya,377450,5540
Liechtenstein,5297,67
Lithuania,487953,6933
Luxembourg,93429,890
MS Zaandam,9,2
Madagascar,44800,972
Malawi,62147,2307
Malaysia,236693,3809
Malaysia,163378,2116
Malaysia,161680,1197
Malaysia,73309,946
Malaysia,110667,1291
Malaysia,90119,732
Malaysia,125235,1302
Malaysia,6719,128
Malaysia,156116,1682
Malaysia,236638,2733
Malaysia,251568,1605
Malaysia,767296,9849
Malaysia,78607,639
Malaysia,0,0
Malaysia,205992,2631
Malaysia,10638,150
Malaysia,8868,21
Maldives,92846,256
Mali,18404,623
Malta,40357,470
Marshall Islands,4,0
Mauritania,39742,848
Mauritius,22461,240
Mexico,37663,2973
Mexico,84544,10561
Mexico,57352,2401
Mexico,24229,2102
Mexico,23553,2289
Mexico,75400,8422
Mexico,988137,40205
Mexico,99213,7670
Mexico,33356,2036
Mexico,50224,3125
Mexico,198622,13128
Mexico,77165,6289
Mexico,62843,7879
Mexico,164147,17691
Mexico,380122,44470
Mexico,73726,8238
Mexico,50636,4939
Mexico,34324,2880
Mexico,207752,13640
Mexico,83590,5619
Mexico,125959,15616
Mexico,99462,5639
Mexico,59910,4084
Mexico,106113,6737
Mexico,74917,8926
Mexico,119900,8850
Mexico,143938,5682
Mexico,103589,7014
Mexico,29520,2994
Mexico,0,0
Mexico,124198,14964
Mexico,75356,5702
Mexico,42254,3423
Micronesia,1,0
Moldova,369013,9333
Monaco,4054,36
Mongolia,384912,2028
Montenegro,159433,2347
Morocco,951267,14795
Mozambique,152965,1942
Namibia,131230,3575
Nepal,823786,11552
Netherlands,16549,177
Netherlands,3119,22
Netherlands,17560,182
Netherlands,56884,402
Netherlands,65124,290
Netherlands,86390,535
Netherlands,326583,2442
Netherlands,68251,313
Netherlands,211090,1959
Netherlands,438347,3425
Netherlands,466575,2954
Netherlands,184811,1284
Netherlands,4628,75
Netherlands,12651,17
Netherlands,222559,1391
Netherlands,57292,288
Netherlands,649569,4704
New Zealand,2,0
New Zealand,12781,46
Nicaragua,17328,214
Niger,7149,267
Nigeria,216451,2981
North Macedonia,218723,7710
Norway,310781,1136
Oman,304679,4113
Pakistan,34601,743
Pakistan,33528,363
Pakistan,10425,186
Pakistan,108081,962
Pakistan,180611,5885
Pakistan,443794,13050
Pakistan,477721,7634
Palau,8,0
Panama,480217,7385
Papua New Guinea,35835,573
Paraguay,463650,16500
Peru,32251,1273
Peru,79636,6722
Peru,26593,1520
Peru,116483,9715
Peru,34761,2144
Peru,66665,4145
Peru,102723,10049
Peru,75136,4807
Peru,16404,1174
Peru,36127,2696
Peru,60365,8564
Peru,88103,7060
Peru,91615,10307
Peru,63270,8637
Peru,982487,88960
Peru,45245,4266
Peru,14003,772
Peru,29868,1525
Peru,16116,1044
Peru,92434,12146
Peru,41565,4220
Peru,49095,3027
Peru,30860,1967
Peru,19389,1583
Peru,32221,3056
Peru,7612,271
Philippines,2836200,49961
Poland,3785036,87928
Portugal,1185036,18626
Qatar,245030,612
Romania,1791502,57531
Russia,25250,690
Russia,109253,6027
Russia,24679,482
Russia,49130,558
Russia,117271,1413
Russia,76437,2245
Russia,112679,3890
Russia,76176,1611
Russia,91897,2495
Russia,71856,2249
Russia,29404,867
Russia,133224,5436
Russia,2900,28
Russia,44400,3491
Russia,62922,3035
Russia,26988,444
Russia,144742,6459
Russia,64069,2256
Russia,10938,359
Russia,39969,1285
Russia,78273,1113
Russia,33657,705
Russia,61214,1094
Russia,22895,494
Russia,30832,889
Russia,85706,1115
Russia,77669,1615
Russia,115281,1113
Russia,51310,1730
Russia,91914,1811
Russia,74160,703
Russia,92772,2395
Russia,46421,1021
Russia,106128,9281
Russia,160047,7839
Russia,47000,922
Russia,78869,1880
Russia,94175,2874
Russia,78236,2549
Russia,13122,322
Russia,27522,857
Russia,38167,939
Russia,1978376,35124
Russia,608638,10987
Russia,88438,2626
Russia,3336,84
Russia,220931,9229
Russia,29351,825
Russia,61775,681
Russia,86673,3948
Russia,120331,2945
Russia,66048,1357
Russia,103932,3264
Russia,95399,4390
Russia,147683,7081
Russia,92616,1448
Russia,67840,1140
Russia,182064,9074
Russia,57716,2163
Russia,811251,26762
Russia,72954,1717
Russia,39181,464
Russia,188191,5826
Russia,125613,4802
Russia,80543,2216
Russia,117398,5539
Russia,186106,8755
Russia,56761,1517
Russia,40229,1325
Russia,58110,644
Russia,70374,4008
Russia,92033,2193
Russia,83960,3045
Russia,31142,314
Russia,76857,3126
Russia,114698,3510
Russia,75517,2803
Russia,122073,4940
Russia,93798,2709
Russia,184477,6182
Russia,59739,897
Russia,80154,1633
Russia,90863,1697
Rwanda,100556,1344
Saint Kitts and Nevis,2795,28
Saint Lucia,13086,283
Saint Vincent and the Grenadines,5692,77
Samoa,3,0
San Marino,6464,94
Sao Tome and Principe,3733,57
Saudi Arabia,550136,8851
Senegal,74065,1886
Serbia,1271794,12113
Seychelles,23806,129
Sierra Leone,6421,121
Singapore,272433,783
Slovakia,1272991,15236
Slovenia,437689,5384
Solomon Islands,20,0
Somalia,23074,1333
South Africa,3093452,90060
South Sudan,12873,133
Spain,833874,11361
Spain,176200,3982
Spain,77489,2108
Spain,109661,1029
Spain,548273,7948
Spain,107452,1068
Spain,49660,618
Spain,247697,6548
Spain,318538,7450
Spain,987999,16050
Spain,7885,130
Spain,106204,2000
Spain,201653,2688
Spain,41572,830
Spain,926045,16325
Spain,11549,115
Spain,151018,1773
Spain,94567,1269
Spain,292937,5088
Spain,0,0
Sri Lanka,571426,14573
Sudan,44529,3208
Summer Olympics 2020,865,0
Suriname,51167,1176
Sweden,14428,131
Sweden,29982,359
Sweden,39565,566
Sweden,4798,54
Sweden,45534,332
Sweden,13663,129
Sweden,47129,567
Sweden,27392,256
Sweden,24266,329
Sweden,29009,295
Sweden,36970,356
Sweden,46222,661
Sweden,175664,1816
Sweden,28974,486
Sweden,294831,4536
Sweden,45405,551
Sweden,23061,228
Sweden,27478,202
Sweden,29029,488
Sweden,34293,378
Sweden,211524,2471
Switzerland,1111923,11746
Syria,49101,2804
Taiwan*,16721,848
Tajikistan,17493,125
Tanzania,26309,734
Thailand,2164859,21151
Timor-Leste,19829,122
Togo,26372,243
Tonga,1,0
Trinidad and Tobago,79237,2361
Tunisia,719247,25419
Turkey,9004938,78778
US,10589,158
US,38278,590
US,3714,81
US,4378,95
US,10840,193
US,1537,46
US,3467,101
US,22682,522
US,5825,143
US,3226,64
US,7139,171
US,956,28
US,4864,86
US,2535,69
US,2562,60
US,9457,192
US,9407,212
US,1942,62
US,1873,48
US,7006,197
US,2628,79
US,16266,307
US,9072,192
US,5324,210
US,13145,273
US,15993,295
US,6973,147
US,20128,523
US,3334,85
US,6402,108
US,4671,137
US,1310,45
US,3212,89
US,3231,66
US,17844,426
US,10273,197
US,116555,2004
US,2542,55
US,15185,309
US,4877,130
US,25745,265
US,16271,222
US,1783,68
US,2469,68
US,53813,745
US,3430,93
US,5460,132
US,18924,320
US,74591,1386
US,3385,66
US,34642,787
US,22652,414
US,0,0
US,1421,41
US,3355,91
US,5164,109
US,3402,67
US,7140,65
US,38558,373
US,17027,360
US,1405,42
US,14301,304
US,7310,202
US,36310,645
US,0,0
US,12258,383
US,2575,51
US,1787,38
US,4817,111
US,452,3
US,949,2
US,62172,402
US,6862,27
US,0,0
US,559,1
US,1232,8
US,700,2
US,296,1
US,982,9
US,17358,108
US,243,1
US,4271,14
US,12050,69
US,2221,13
US,2719,10
US,2347,9
US,24695,148
US,2295,2
US,2906,8
US,2355,10
US,531,3
US,630,6
US,1258,5
US,93,0
US,1396,12
US,537,1
US,0,0
US,226,1
US,285,3
US,805,8
US,10,0
US,15684,520
US,18958,419
US,26167,394
US,11574,283
US,8749,141
US,1410,23
US,3497,105
US,824044,13085
US,37059,1084
US,25526,701
US,0,0
US,164693,2972
US,84210,1214
US,10121,199
US,0,0
US,34259,866
US,43233,941
US,3560,62
US,3257,51
US,6386,194
US,44667,649
US,6661,132
US,2039,42
US,609,8
US,4472,78
US,2047,47
US,3416,63
US,2865,77
US,4096,95
US,1465,34
US,3434,75
US,3346,46
US,22653,251
US,11190,183
US,9089,185
US,3073,69
US,1153,19
US,1971,33
US,2989,56
US,20718,228
US,2838,56
US,1952,70
US,16301,407
US,2963,51
US,10615,129
US,3075,44
US,7842,112
US,2581,39
US,7081,165
US,2780,56
US,4635,47
US,12545,233
US,4763,61
US,872,28
US,3523,62
US,2217,53
US,3758,58
US,2137,82
US,3761,53
US,12631,177
US,2752,42
US,2438,66
US,6734,151
US,8852,153
US,1215,25
US,1175,49
US,1425,41
US,1270,41
US,3519,88
US,1622,22
US,3269,78
US,1777,38
US,5226,102
US,3025,112
US,12460,159
US,1303,29
US,60912,943
US,3548,65
US,19197,252
US,1775,32
US,1354,26
US,23574,401
US,4150,61
US,3218,72
US,4917,71
US,1982,46
US,5852,0
US,6083,144
US,2368,44
US,46280,502
US,14175,207
US,1149,24
US,4839,85
US,126741,1516
US,109,0
US,5859,69
US,25830,326
US,4539,89
US,3314,21
US,105074,1061
US,3831,42
US,18636,170
US,158802,2294
US,4622,37
US,10455,120
US,39462,782
US,2611,46
US,159721,1870
US,35733,371
US,7090,114
US,8029,59
US,1543784,27304
US,26666,315
US,18895,249
US,1648,18
US,8817,100
US,45725,681
US,797,6
US,1946,4
US,53328,631
US,13582,107
US,10238,106
US,337937,5814
US,0,0
US,43002,481
US,1990,12
US,393195,5408
US,170837,2479
US,8004,80
US,380385,6007
US,415006,4374
US,57770,678
US,108876,1842
US,31940,362
US,57192,631
US,48090,559
US,154536,1941
US,22684,225
US,26472,470
US,222,0
US,4839,57
US,48211,365
US,43811,416
US,92709,1452
US,14771,187
US,10363,134
US,1027,17
US,87521,1103
US,7868,91
US,146,0
US,105311,1195
US,21914,267
US,10921,92
US,86814,969
US,3004,51
US,91822,939
US,1972,8
US,576,6
US,1922,34
US,35591,287
US,7847,89
US,2755,38
US,240,7
US,917,7
US,1162,42
US,436,13
US,2484,27
US,477,13
US,4674,109
US,104584,1047
US,271,5
US,47041,331
US,9402,32
US,117803,1310
US,3099,29
US,10333,146
US,9081,75
US,547,4
US,2358,17
US,2049,12
US,65,0
US,870,23
US,126,0
US,75181,1030
US,275,4
US,1200,24
US,7169,64
US,1208,1
US,46491,386
US,2290,27
US,1412,8
US,5173,94
US,28908,424
US,150,1
US,2210,47
US,4060,50
US,6850,122
US,4103,119
US,3282,108
US,532,6
US,0,0
US,1778,13
US,595,15
US,3334,6
US,1991,40
US,30308,619
US,1243,11
US,1900,34
US,3890,24
US,824,9
US,108,0
US,1298,5
US,359,6
US,5496,12
US,3420,46
US,109,0
US,756,24
US,54450,558
US,1409,20
US,119682,2332
US,107600,2637
US,19445,349
US,16514,403
US,114705,2297
US,31520,512
US,12731,205
US,1557,4
US,15669,233
US,29583,476
US,90416,1075
US,38922,660
US,478,0
US,49,0
US,68702,1199
US,40637,285
US,6042,62
US,32885,394
US,5369,58
US,82881,914
US,366003,3079
US,3017,45
US,23977,437
US,20892,463
US,34257,352
US,59234,551
US,15080,170
US,6991,97
US,2980,24
US,167780,1483
US,57946,706
US,14803,114
US,2272,20
US,8763,99
US,3197,44
US,1463,19
US,3008,45
US,2782,25
US,6123,45
US,8059,87
US,28990,482
US,16257,366
US,248008,1832
US,3904,49
US,22510,306
US,10275,158
US,2530,28
US,2227,26
US,56310,663
US,129343,1009
US,52265,332
US,7108,56
US,1845,16
US,3691,45
US,66703,689
US,57766,996
US,20746,335
US,690766,6472
US,11339,52
US,15730,127
US,35195,367
US,7491,89
US,234294,1310
US,73910,529
US,231927,2883
US,80825,802
US,138682,1671
US,131041,1387
US,12904,160
US,33077,291
US,58043,844
US,63928,516
US,41865,221
US,48518,657
US,14974,284
US,9326,140
US,4642,48
US,2961,25053
US,3089,74
US,78488,846
US,6495,56
US,13003,89
US,4610,52
US,3542,107
US,1595,37
US,2657,64
US,375,14
US,6789,199
US,2835,68
US,15196,202
US,21058,368
US,3248,109
US,3515,71
US,26163,662
US,2340,85
US,3146,89
US,2449,73
US,6378,75
US,11291,223
US,3786,86
US,4797,123
US,850,21
US,8092,97
US,1566,90
US,16768,357
US,9923,122
US,2279,56
US,39360,723
US,6178,21
US,4723,108
US,44936,487
US,20504,187
US,315,4
US,40629,779
US,1501,36
US,113165,1436
US,7956,243
US,7585,203
US,25471,319
US,3637,65
US,21541,392
US,1152,46
US,3198,117
US,2243,22
US,4790,77
US,94388,1389
US,4812,110
US,3640,134
US,1662,62
US,12574,427
US,22894,308
US,1887,58
US,732,11
US,9006,175
US,3400,92
US,4480,142
US,1652,54
US,3919,114
US,13699,247
US,18896,401
US,35317,292
US,4037,85
US,136224,1852
US,4866,139
US,414,21
US,15535,342
US,11644,206
US,3683,92
US,2771,74
US,137788,1539
US,7635,213
US,39519,684
US,1147,82
US,3868,130
US,3878,96
US,3599,73
US,1501,42
US,39339,523
US,25694,417
US,1450,42
US,15153,226
US,2203,59
US,2980,61
US,2716,91
US,1191,60
US,1566,64
US,3575,99
US,3491,99
US,1487,17
US,9255,256
US,4820,82
US,7662,132
US,1223,33
US,1788,28
US,21609,323
US,4938,110
US,1350,45
US,5065,81
US,989,41
US,3596,78
US,1717,33
US,3047,120
US,1239,24
US,3402,101
US,4296,153
US,1531,44
US,3325,49
US,7788,149
US,24862,667
US,16808,367
US,5906,82
US,2266,43
US,41156,1123
US,26052,350
US,4215,115
US,5749,123
US,4355,106
US,3902,71
US,8673,164
US,1536,67
US,3317,88
US,258,4
US,2672,76
US,1027,43
US,35841,743
US,11812,250
US,719,8
US,1821,62
US,1534,26
US,10680,331
US,4885,121
US,1603,29
US,4341,140
US,747,29
US,170,3
US,3865,115
US,1299,40
US,2283,75
US,1258,58
US,7783,183
US,8415,186
US,5504,177
US,1819,84
US,1250,54
US,11011,326
US,1744,50
US,1109,62
US,3744,7
US,3641,130
US,5490,190
US,11835,164
US,15486,354
US,7428,251
US,776,26
US,3247,124
US,5851,176
US,278,6
US,984,36
US,4934,133
US,23199,354
US,1301,62
US,1592,38
US,1522,46
US,3117,96
US,103,3
US,19307,267
US,11833,143
US,60222,776
US,3241,13
US,10537,102
US,2992,11
US,0,0
US,86663,847
US,556,14
US,14433,207
US,741,15
US,1608,29
US,7281,130
US,3238,27
US,827,11
US,6619,138
US,21905,242
US,1724,48
US,387,5
US,108,1
US,44004,593
US,1072,23
US,4024,43
US,90,0
US,1732,27
US,406,6
US,4416,52
US,1785,26
US,1680,18
US,2922,69
US,2380,44
US,2343,39
US,4531,51
US,4426,55
US,31378,461
US,4801,41
US,983,21
US,845,23
US,761,14
US,9210,42
US,3263,52
US,6475,105
US,595,10
US,1717,41
US,4282,72
US,1114,17
US,2189,66
US,1770,7
US,16705,236
US,2,0
US,1600,13
US,1930,47
US,14987,163
US,829,13
US,2849,28
US,9174,87
US,1156,12
US,5115,101
US,867,2
US,2781,41
US,2862,31
US,31639,209
US,6145,84
US,3090,44
US,3051,54
US,7687,106
US,9027,139
US,699372,11611
US,3640,31
US,2175,28
US,2594,31
US,14091,147
US,3738,38
US,122720,1419
US,3137,51
US,1188,19
US,7432,112
US,4789,71
US,2803,59
US,7969,125
US,5897,88
US,840,10
US,2274,40
US,8657,91
US,1463,23
US,3163,35
US,698,16
US,844,14
US,7691,85
US,4936,86
US,8601,98
US,1798,21
US,7126,147
US,3936,55
US,2701,29
US,2539,32
US,76493,914
US,20336,273
US,18720,120
US,8159,179
US,17055,296
US,90507,1122
US,3613,37
US,5431,66
US,6679,107
US,5501,77
US,17592,265
US,7882,118
US,44321,631
US,7703,155
US,1637,23
US,2432,53
US,2426,55
US,4278,69
US,41371,349
US,26700,237
US,1994,15
US,2444,37
US,5826,105
US,5591,85
US,5599,103
US,2739,35
US,9083,100
US,3,0
US,29998,389
US,4643,79
US,2549,15
US,3060,58
US,623,6
US,1120,13
US,679,5
US,5869,104
US,3279,63
US,21697,388
US,4676,74
US,28814,299
US,1202,12
US,802,7
US,4068,54
US,39817,620
US,958,29
US,7629,114
US,23668,360
US,86,2433
US,3386,52
US,17388,220
US,2293,19
US,2716,69
US,2290,30
US,3340,66
US,2966,33
US,9587,190
US,103822,1188
US,13198,190
US,49661,609
US,6673,94
US,5586,81
US,69421,902
US,13437,195
US,1743,18
US,2305,44
US,10123,127
US,1839,50
US,3093,41
US,8378,130
US,20632,283
US,4757,62
US,6443,81
US,1734,29
US,5217,119
US,8137,112
US,9197,103
US,4756,111
US,17330,308
US,8991,143
US,41238,554
US,4740,101
US,12281,232
US,3903,67
US,3030,44
US,3737,75
US,7311,119
US,12487,254
US,4853,102
US,52693,490
US,13554,188
US,7165,101
US,27001,394
US,9458,171
US,17238,320
US,7954,118
US,7915,94
US,6385,95
US,3450,52
US,6139,106
US,4659,67
US,28348,470
US,7099,116
US,14820,169
US,4441,91
US,17769,270
US,74523,1270
US,8273,188
US,21749,465
US,148805,2274
US,9450,147
US,1547,19
US,6776,114
US,17029,221
US,7397,123
US,10707,196
US,1881,54
US,9619,125
US,941,13
US,3426,74
US,3637,78
US,2556,32
US,3022,54
US,2586,45
US,26504,395
US,4201,44
US,2177,60
US,6604,86
US,4103,108
US,5765,94
US,3220,33
US,5071,80
US,8646,133
US,3714,48
US,51480,662
US,3690,75
US,6932,89
US,3555,55
US,1520,13
US,31738,281
US,2571,67
US,0,614
US,1276,16
US,35390,500
US,2899,59
US,19510,317
US,6456,117
US,1424,17
US,12548,194
US,3999,56
US,12396,272
US,5016,107
US,4948,70
US,6835,61
US,1230,41
US,605,9
US,2181,56
US,2173,58
US,801,17
US,4343,60
US,23080,387
US,4107,43
US,4144,74
US,3312,43
US,5092,49
US,2461,47
US,2031,19
US,3791,56
US,2403,68
US,2784,27
US,8482,128
US,2242,47
US,1945,23
US,1690,29
US,3022,38
US,2616,62
US,8497,116
US,3617,48
US,16034,117
US,1290,25
US,1101,14
US,3149,56
US,7248,109
US,3249,56
US,19729,246
US,1860,46
US,2996,56
US,2693,50
US,1934,32
US,1013,14
US,1312,18
US,1924,37
US,1750,39
US,2665,58
US,2320,41
US,2993,54
US,2540,80
US,4317,55
US,1570,24
US,1951,33
US,1393,41
US,2433,36
US,3469,47
US,6494,91
US,2401,44
US,20765,108
US,4270,64
US,1569,40
US,3069,78
US,6113,107
US,34264,433
US,1849,53
US,1302,28
US,2156,42
US,2427,25
US,3837,67
US,5818,100
US,6898,94
US,2342,30
US,1903,44
US,1294,40
US,1485,41
US,1658,47
US,6907,118
US,2562,66
US,1078,18
US,2813,35
US,1564,32
US,5048,89
US,1243,25
US,84421,824
US,16734,219
US,2506,43
US,838,30
US,1809,26
US,28244,301
US,2079,43
US,6352,77
US,14328,59
US,2908,78
US,1037,14
US,36,0
US,2057,41
US,997,23
US,6794,146
US,8923,108
US,4060,65
US,906,25
US,7688,125
US,2333,40
US,2813,44
US,21185,269
US,1280,10
US,2765,52
US,2412,26
US,1264,22
US,2744,26
US,646,7
US,4507,67
US,2742,44
US,1913,40
US,12204,140
US,443,4
US,584,12
US,3912,78
US,490,14
US,362,7
US,1358,31
US,1738,30
US,1456,28
US,345,13
US,6553,128
US,7380,104
US,490,13
US,3330,61
US,1633,29
US,13647,106
US,460,13
US,378,6
US,5000,75
US,1539,31
US,8398,94
US,7595,97
US,4291,62
US,5117,61
US,594,22
US,365,12
US,1522,30
US,950,23
US,225,3
US,1103,18
US,337,2
US,1140,24
US,5869,91
US,689,9
US,270,10
US,2495,20
US,2987,51
US,611,11
US,86028,971
US,957,17
US,1377,24
US,446,6
US,4142,63
US,216,8
US,11574,137
US,422,7
US,1790,21
US,559,9
US,6116,97
US,2025,35
US,1889,32
US,5103,98
US,779,14
US,4884,69
US,906,17
US,5775,121
US,915,22
US,462,10
US,2314,56
US,3181,53
US,555,17
US,1626,32
US,2370,39
US,542,15
US,874,14
US,0,0
US,1594,20
US,1030,28
US,3337,44
US,1405,27
US,570,7
US,13233,174
US,963,14
US,1670,16
US,8591,65
US,925,13
US,575,16
US,1393,34
US,9552,185
US,915,31
US,90060,1074
US,5213,53
US,28694,478
US,587,16
US,1139,13
US,484,3
US,800,19
US,330,7
US,1031,15
US,3719,62
US,1759,23
US,542,8
US,0,125
US,1074,18
US,332,5
US,942,17
US,334,8
US,1732,34
US,476,10
US,29979,373
US,3785,85
US,4111,77
US,3928,54
US,782,25
US,8841,170
US,1894,33
US,6060,115
US,22753,218
US,3630,41
US,9350,123
US,5713,108
US,1356,19
US,2157,42
US,3244,46
